. Sequence file : [Muscle_ACT1_Complete_sequence_for_phylogeny.fasta.alter.phy]

. Model of nucleotides substitution : Custom

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #1	20   	-3312.85826	Yes        	8        	3031.789    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.64665   0.07729   0.44198   0.12738  
      	     	          	           	          	           	             	                                      	 0.10227  -1.41021   0.05050   1.25743  
      	     	          	           	          	           	             	                                      	 0.52603   0.04542  -0.74772   0.17627  
      	     	          	           	          	           	             	                                      	 0.13126   0.97924   0.15262  -1.26312  

  #2	20   	-3233.94901	Yes        	8        	2727.831    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.75199   0.08814   0.51206   0.15179  
      	     	          	           	          	           	             	                                      	 0.11663  -1.26150   0.14697   0.99790  
      	     	          	           	          	           	             	                                      	 0.60943   0.13219  -0.93917   0.19756  
      	     	          	           	          	           	             	                                      	 0.15642   0.77712   0.17106  -1.10460  

  #3	20   	-3295.49470	Yes        	8        	698.311    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.75729   0.05392   0.57904   0.12433  
      	     	          	           	          	           	             	                                      	 0.07135  -1.09498   0.07096   0.95267  
      	     	          	           	          	           	             	                                      	 0.68915   0.06382  -1.05326   0.30029  
      	     	          	           	          	           	             	                                      	 0.12812   0.74190   0.26000  -1.13003  

  #4	20   	-3294.61299	Yes        	8        	5009.691    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.77274   0.08317   0.54226   0.14731  
      	     	          	           	          	           	             	                                      	 0.11005  -1.13241   0.09089   0.93148  
      	     	          	           	          	           	             	                                      	 0.64537   0.08174  -1.01016   0.28305  
      	     	          	           	          	           	             	                                      	 0.15180   0.72539   0.24508  -1.12228  

  #5	20   	-3236.40082	Yes        	8        	2728.641    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.78371   0.13237   0.49784   0.15350  
      	     	          	           	          	           	             	                                      	 0.17516  -1.23674   0.06407   0.99751  
      	     	          	           	          	           	             	                                      	 0.59251   0.05762  -0.88485   0.23472  
