. Sequence file : [Muscle_ACT1_Exon2_for_phylogeny.fasta.alter2.phy]

. Model of nucleotides substitution : Custom

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #1	104   	-6163.00695	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.74840   0.08766   0.47235   0.18840  
      	     	          	           	          	           	             	                                      	 0.10921  -1.34075   0.12987   1.10168  
      	     	          	           	          	           	             	                                      	 0.53731   0.11857  -0.80241   0.14654  
      	     	          	           	          	           	             	                                      	 0.17949   0.84241   0.12273  -1.14463  

  #2	104   	-5707.36709	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.87530   0.10477   0.56981   0.20072  
      	     	          	           	          	           	             	                                      	 0.13054  -1.17121   0.15480   0.88586  
      	     	          	           	          	           	             	                                      	 0.64817   0.14133  -0.96596   0.17645  
      	     	          	           	          	           	             	                                      	 0.19123   0.67739   0.14779  -1.01640  

  #3	104   	-5843.59658	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.84258   0.11898   0.52080   0.20279  
      	     	          	           	          	           	             	                                      	 0.14825  -1.24918   0.09131   1.00963  
      	     	          	           	          	           	             	                                      	 0.59242   0.08336  -0.83443   0.15865  
      	     	          	           	          	           	             	                                      	 0.19320   0.77203   0.13287  -1.09810  

  #4	104   	-5930.45919	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.77328   0.08547   0.49315   0.19465  
      	     	          	           	          	           	             	                                      	 0.10649  -1.32575   0.14637   1.07289  
      	     	          	           	          	           	             	                                      	 0.56097   0.13364  -0.82406   0.12945  
      	     	          	           	          	           	             	                                      	 0.18545   0.82040   0.10842  -1.11427  

  #5	104   	-5779.11362	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.83269   0.09855   0.52440   0.20975  
      	     	          	           	          	           	             	                                      	 0.12278  -1.23721   0.14452   0.96991  
      	     	          	           	          	           	             	                                      	 0.59651   0.13194  -0.88604   0.15758  
      	     	          	           	          	           	             	                                      	 0.19983   0.74165   0.13198  -1.07346  

  #6	104   	-6127.35480	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.80003   0.08464   0.52463   0.19075  
      	     	          	           	          	           	             	                                      	 0.10546  -1.25989   0.08413   1.07030  
      	     	          	           	          	           	             	                                      	 0.59678   0.07681  -0.83180   0.15821  
      	     	          	           	          	           	             	                                      	 0.18173   0.81842   0.13251  -1.13266  

  #7	104   	-6132.51239	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.73319   0.07697   0.45536   0.20085  
      	     	          	           	          	           	             	                                      	 0.09590  -1.31200   0.10035   1.11575  
      	     	          	           	          	           	             	                                      	 0.51799   0.09162  -0.78755   0.17794  
      	     	          	           	          	           	             	                                      	 0.19136   0.85317   0.14903  -1.19356  

  #8	104   	-6041.55857	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.75636   0.12042   0.46582   0.17012  
      	     	          	           	          	           	             	                                      	 0.15003  -1.34394   0.12550   1.06841  
      	     	          	           	          	           	             	                                      	 0.52987   0.11458  -0.81630   0.17184  
      	     	          	           	          	           	             	                                      	 0.16208   0.81697   0.14393  -1.12298  

  #9	104   	-5919.12069	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.82295   0.12227   0.45131   0.24938  
      	     	          	           	          	           	             	                                      	 0.15233  -1.22838   0.07409   1.00196  
      	     	          	           	          	           	             	                                      	 0.51337   0.06764  -0.78471   0.20370  
      	     	          	           	          	           	             	                                      	 0.23759   0.76616   0.17061  -1.17436  

  #10	104   	-5976.95392	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.76582   0.06859   0.45232   0.24490  
      	     	          	           	          	           	             	                                      	 0.08546  -1.28261   0.16515   1.03199  
      	     	          	           	          	           	             	                                      	 0.51452   0.15078  -0.82343   0.15813  
      	     	          	           	          	           	             	                                      	 0.23332   0.78913   0.13244  -1.15489  

  #11	104   	-6122.17753	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.64753   0.08507   0.43883   0.12362  
      	     	          	           	          	           	             	                                      	 0.10599  -1.42493   0.15975   1.15919  
      	     	          	           	          	           	             	                                      	 0.49918   0.14585  -0.82652   0.18149  
      	     	          	           	          	           	             	                                      	 0.11778   0.88639   0.15200  -1.15618  

  #12	104   	-5841.13677	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.78898   0.06461   0.49492   0.22945  
      	     	          	           	          	           	             	                                      	 0.08050  -1.23182   0.11196   1.03936  
      	     	          	           	          	           	             	                                      	 0.56298   0.10221  -0.83881   0.17362  
      	     	          	           	          	           	             	                                      	 0.21860   0.79476   0.14541  -1.15878  

  #13	104   	-5760.91648	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.84213   0.10925   0.54606   0.18682  
      	     	          	           	          	           	             	                                      	 0.13612  -1.18123   0.10868   0.93643  
      	     	          	           	          	           	             	                                      	 0.62116   0.09922  -0.93051   0.21013  
      	     	          	           	          	           	             	                                      	 0.17798   0.71605   0.17599  -1.07003  

