. Sequence file : [Muscle_GPD1.fasta.alter.phy]

. Model of nucleotides substitution : Custom

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #1	19   	-3135.81121	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90273   0.09006   0.66230   0.15038  
      	     	          	           	          	           	             	                                      	 0.15733  -1.20108   0.10623   0.93752  
      	     	          	           	          	           	             	                                      	 0.98088   0.09006  -1.22131   0.15038  
      	     	          	           	          	           	             	                                      	 0.15733   0.56144   0.10623  -0.82501  

  #2	19   	-2973.86168	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90300   0.09140   0.65897   0.15263  
      	     	          	           	          	           	             	                                      	 0.15968  -1.20032   0.10782   0.93281  
      	     	          	           	          	           	             	                                      	 0.97595   0.09140  -1.21998   0.15263  
      	     	          	           	          	           	             	                                      	 0.15968   0.55862   0.10782  -0.82613  

  #3	19   	-3069.02786	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90195   0.08615   0.67194   0.14386  
      	     	          	           	          	           	             	                                      	 0.15051  -1.20331   0.10163   0.95117  
      	     	          	           	          	           	             	                                      	 0.99516   0.08615  -1.22517   0.14386  
      	     	          	           	          	           	             	                                      	 0.15051   0.56962   0.10163  -0.82176  

  #4	19   	-2878.66550	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90539   0.10341   0.62931   0.17267  
      	     	          	           	          	           	             	                                      	 0.18066  -1.19346   0.12198   0.89082  
      	     	          	           	          	           	             	                                      	 0.93202   0.10341  -1.20810   0.17267  
      	     	          	           	          	           	             	                                      	 0.18066   0.53348   0.12198  -0.83612  

  #5	19   	-3032.72307	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90569   0.10491   0.62560   0.17518  
      	     	          	           	          	           	             	                                      	 0.18328  -1.19261   0.12375   0.88557  
      	     	          	           	          	           	             	                                      	 0.92653   0.10491  -1.20662   0.17518  
      	     	          	           	          	           	             	                                      	 0.18328   0.53033   0.12375  -0.83737  

  #6	19   	-3017.87355	Yes        	8        	0.691    	0.556    	 0.31217   0.17868   0.21078   0.29837	-0.90379   0.09541   0.64908   0.15931  
      	     	          	           	          	           	             	                                      	 0.16668  -1.19803   0.11254   0.91881  
      	     	          	           	          	           	             	                                      	 0.96130   0.09541  -1.21602   0.15931  
      	     	          	           	          	           	             	                                      	 0.16668   0.55024   0.11254  -0.82946  

