# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_inframe_deletion	variants_effect_inframe_insertion	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
DEHA2A00110g	DEHA2A00110g	CAR65341	protein_coding	1	1	1	3	3	1	0	0	0	1	0	0	0	0	1	0
DEHA2A00132g	DEHA2A00132g	CAG84273	protein_coding	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0
DEHA2A00154g	DEHA2A00154g	CAG84274	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A00176g	DEHA2A00176g	CAG84275	protein_coding	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0
DEHA2A00198g	DEHA2A00198g	CAG84280	protein_coding	0	0	0	15	15	0	0	0	0	0	0	0	0	0	0	0
DEHA2A00220g	DEHA2A00220g	CAG84281	protein_coding	0	2	0	30	0	0	0	0	0	0	0	0	0	0	2	30
DEHA2A00242g	DEHA2A00242g	CAG84283	protein_coding	0	2	1	29	16	0	0	0	0	1	0	0	0	0	2	13
DEHA2A00264g	DEHA2A00264g	CAG84286	protein_coding	0	0	0	20	19	0	0	0	0	0	0	0	0	0	0	1
DEHA2A00286g	DEHA2A00286g	CAG84287	protein_coding	0	0	0	14	1	0	0	0	0	0	0	0	0	0	0	13
DEHA2A00308g	DEHA2A00308g	CAG84289	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A00330g	DEHA2A00330g	CAG84290	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A00352g	DEHA2A00352g	CAG84291	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A00374g	DEHA2A00374g	CAG84295	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A00418g	DEHA2A00418g	CAG84297	protein_coding	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0
DEHA2A00440g	DEHA2A00440g	CAG84298	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4
DEHA2A00462g	DEHA2A00462g	CAG84299	protein_coding	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0
DEHA2A00484g	DEHA2A00484g	CAG84300	protein_coding	0	1	3	0	0	0	0	0	0	3	0	0	0	0	1	0
DEHA2A00506g	DEHA2A00506g	CAG84303	protein_coding	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0
DEHA2A01430g	DEHA2A01430g	CAG84348	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A01452g	DEHA2A01452g	CAR65344	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
DEHA2A01474g	DEHA2A01474g	CAG84354	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A01496g	DEHA2A01496g	CAG84355	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A01716g	DEHA2A01716g	CAG84365	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A01738g	DEHA2A01738g	CAG84366	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
DEHA2A01760g	DEHA2A01760g	CAG84367	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
