# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_inframe_deletion	variants_effect_inframe_insertion	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
DEHA2A00110g	DEHA2A00110g	CAR65341	protein_coding	1	1	2	11	0	9	1	0	0	0	2	0	0	0	0	0	1	2
DEHA2A00132g	DEHA2A00132g	CAG84273	protein_coding	0	0	0	8	0	8	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A00154g	DEHA2A00154g	CAG84274	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	6
DEHA2A00176g	DEHA2A00176g	CAG84275	protein_coding	0	0	0	7	0	6	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A00198g	DEHA2A00198g	CAG84280	protein_coding	0	0	0	20	0	20	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A00220g	DEHA2A00220g	CAG84281	protein_coding	0	4	2	25	0	0	0	0	0	0	2	0	0	0	0	0	4	25
DEHA2A00242g	DEHA2A00242g	CAG84283	protein_coding	0	1	0	30	0	11	0	0	0	0	0	0	0	0	0	0	1	19
DEHA2A00264g	DEHA2A00264g	CAG84286	protein_coding	0	0	0	13	0	12	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A00286g	DEHA2A00286g	CAG84287	protein_coding	0	0	0	11	0	1	0	0	0	0	0	0	0	0	0	0	0	10
DEHA2A00308g	DEHA2A00308g	CAG84289	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A00330g	DEHA2A00330g	CAG84290	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A00352g	DEHA2A00352g	CAG84291	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A00374g	DEHA2A00374g	CAG84295	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A00418g	DEHA2A00418g	CAG84297	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A00440g	DEHA2A00440g	CAG84298	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A00462g	DEHA2A00462g	CAG84299	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A00484g	DEHA2A00484g	CAG84300	protein_coding	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
DEHA2A00506g	DEHA2A00506g	CAG84303	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A00990r	DEHA2A00990r	DEHA2A00990r	protein_coding	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A01012g	DEHA2A01012g	CAG84330	protein_coding	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A01034g	DEHA2A01034g	CAG84331	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5
DEHA2A01056g	DEHA2A01056g	CAG84332	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5
DEHA2A01078r	DEHA2A01078r	DEHA2A01078r	protein_coding	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A01100g	DEHA2A01100g	CAG84333	protein_coding	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	5
DEHA2A01122g	DEHA2A01122g	CAG84334	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A01144g	DEHA2A01144g	CAG84335	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A01166g	DEHA2A01166g	CAG84336	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A01188g	DEHA2A01188g	CAR65343	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A01210g	DEHA2A01210g	CAG84338	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A01232g	DEHA2A01232g	CAG84339	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A01254g	DEHA2A01254g	CAG84340	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A01320g	DEHA2A01320g	CAG84343	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A01342g	DEHA2A01342g	CAG84344	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A01364g	DEHA2A01364g	CAG84345	protein_coding	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
DEHA2A01386g	DEHA2A01386g	CAG84346	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A01408g	DEHA2A01408g	CAG84347	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A01430g	DEHA2A01430g	CAG84348	protein_coding	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A01452g	DEHA2A01452g	CAR65344	protein_coding	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
DEHA2A01474g	DEHA2A01474g	CAG84354	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A01496g	DEHA2A01496g	CAG84355	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A01716g	DEHA2A01716g	CAG84365	protein_coding	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A01738g	DEHA2A01738g	CAG84366	protein_coding	0	0	1	3	0	3	0	0	0	0	1	0	0	0	0	0	0	0
DEHA2A01760g	DEHA2A01760g	CAG84367	protein_coding	0	1	2	1	0	0	0	0	0	0	2	0	0	0	0	0	1	1
DEHA2A01782g	DEHA2A01782g	CAG84368	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4
DEHA2A01804g	DEHA2A01804g	CAG84369	protein_coding	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A02156g	DEHA2A02156g	CAG84384	protein_coding	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	17
DEHA2A02178g	DEHA2A02178g	CAG84385	protein_coding	0	0	0	17	0	17	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A02200g	DEHA2A02200g	CAG84386	protein_coding	0	3	14	0	0	0	0	0	0	0	14	0	0	0	0	0	3	0
