# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_inframe_deletion	variants_effect_inframe_insertion	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
DEHA2A00110g	DEHA2A00110g	CAR65341	protein_coding	1	4	2	6	4	1	0	0	0	2	0	0	0	0	0	4	2
DEHA2A00132g	DEHA2A00132g	CAG84273	protein_coding	0	0	0	9	9	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A00154g	DEHA2A00154g	CAG84274	protein_coding	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	9
DEHA2A00176g	DEHA2A00176g	CAG84275	protein_coding	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A00198g	DEHA2A00198g	CAG84280	protein_coding	0	0	0	15	15	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A00220g	DEHA2A00220g	CAG84281	protein_coding	0	2	0	43	0	0	0	0	0	0	0	0	0	0	0	2	43
DEHA2A00242g	DEHA2A00242g	CAG84283	protein_coding	0	1	2	42	30	0	0	0	0	2	0	0	0	0	0	1	12
DEHA2A00264g	DEHA2A00264g	CAG84286	protein_coding	0	0	0	33	33	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A00286g	DEHA2A00286g	CAG84287	protein_coding	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	27
DEHA2A00990r	DEHA2A00990r	DEHA2A00990r	protein_coding	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A01012g	DEHA2A01012g	CAG84330	protein_coding	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A01034g	DEHA2A01034g	CAG84331	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A01056g	DEHA2A01056g	CAG84332	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A01078r	DEHA2A01078r	DEHA2A01078r	protein_coding	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A01100g	DEHA2A01100g	CAG84333	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A01276g	DEHA2A01276g	CAG84341	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A01298g	DEHA2A01298g	CAG84342	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
