# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_inframe_deletion	variants_effect_inframe_insertion	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
DEHA2A00110g	DEHA2A00110g	CAR65341	protein_coding	1	44	35	29	0	0	0	0	0	2	0	0	33	0	0	0	0	0	1	0	0	44	29
DEHA2A00132g	DEHA2A00132g	CAG84273	protein_coding	0	0	1	114	0	0	81	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	33
DEHA2A00154g	DEHA2A00154g	CAG84274	protein_coding	0	0	1	87	0	0	32	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	55
DEHA2A00176g	DEHA2A00176g	CAG84275	protein_coding	0	0	0	57	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32
DEHA2A00198g	DEHA2A00198g	CAG84280	protein_coding	0	0	0	66	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33
DEHA2A00220g	DEHA2A00220g	CAG84281	protein_coding	0	14	8	74	0	0	32	0	0	0	0	0	8	0	0	0	0	0	0	0	0	14	42
DEHA2A00242g	DEHA2A00242g	CAG84283	protein_coding	0	2	6	59	0	0	31	0	0	0	0	0	6	0	0	0	0	0	0	0	0	2	28
DEHA2A00264g	DEHA2A00264g	CAG84286	protein_coding	1	0	1	41	0	0	37	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4
DEHA2A00286g	DEHA2A00286g	CAG84287	protein_coding	0	0	0	32	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29
DEHA2A00308g	DEHA2A00308g	CAG84289	protein_coding	0	0	1	5	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
DEHA2A00330g	DEHA2A00330g	CAG84290	protein_coding	0	0	0	6	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
