# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_inframe_deletion	variants_effect_inframe_insertion	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_canonical_start_codon	variants_effect_non_coding_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
DEHA2A00110g	DEHA2A00110g	CAR65341	protein_coding	149	2	78	105	0	45	24	149	1	32	0	3	35	0	0	0	0	3	0	0	0	0	191	80
DEHA2A00132g	DEHA2A00132g	CAG84273	protein_coding	2	0	0	314	0	0	238	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	76
DEHA2A00154g	DEHA2A00154g	CAG84274	protein_coding	5	0	15	234	0	3	68	5	0	12	0	0	1	0	0	0	0	0	0	0	0	0	19	166
DEHA2A00176g	DEHA2A00176g	CAG84275	protein_coding	0	0	0	213	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87
DEHA2A00198g	DEHA2A00198g	CAG84280	protein_coding	2	0	3	294	0	3	223	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	71
DEHA2A00220g	DEHA2A00220g	CAG84281	protein_coding	62	0	56	349	0	32	77	62	0	24	0	0	27	0	0	0	0	0	0	0	0	0	91	272
DEHA2A00242g	DEHA2A00242g	CAG84283	protein_coding	57	0	33	385	0	16	213	57	0	17	0	0	19	0	0	0	0	0	0	0	0	0	71	172
DEHA2A00264g	DEHA2A00264g	CAG84286	protein_coding	11	0	25	406	0	19	251	11	0	6	0	0	34	0	0	0	0	0	0	0	0	0	1	155
DEHA2A00286g	DEHA2A00286g	CAG84287	protein_coding	1	0	7	380	0	4	169	1	0	3	0	0	7	0	0	0	0	0	0	0	0	0	1	211
DEHA2A00308g	DEHA2A00308g	CAG84289	protein_coding	8	0	3	274	0	2	120	8	0	1	0	0	1	0	0	0	0	1	0	0	1	1	9	154
DEHA2A00330g	DEHA2A00330g	CAG84290	protein_coding	1	0	6	284	0	3	134	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	7	150
DEHA2A00352g	DEHA2A00352g	CAG84291	protein_coding	2	0	12	319	0	6	149	2	0	6	0	0	14	0	0	0	0	0	0	0	0	0	0	170
DEHA2A00374g	DEHA2A00374g	CAG84295	protein_coding	11	0	17	315	0	9	169	11	0	8	0	0	24	0	0	0	0	0	0	0	0	0	4	146
DEHA2A00396g	DEHA2A00396g	CAG84296	protein_coding	8	0	27	280	0	14	125	8	0	13	0	0	18	0	0	0	0	0	0	0	0	0	17	155
DEHA2A00418g	DEHA2A00418g	CAG84297	protein_coding	18	0	6	299	0	3	141	18	0	3	0	0	17	0	0	0	0	0	0	0	0	0	7	158
DEHA2A00440g	DEHA2A00440g	CAG84298	protein_coding	20	0	21	249	0	19	132	20	0	2	0	0	23	0	0	0	0	0	0	0	0	0	18	117
DEHA2A00462g	DEHA2A00462g	CAG84299	protein_coding	33	0	3	237	0	1	88	33	0	2	0	0	1	0	0	0	0	0	0	0	0	0	35	149
DEHA2A00484g	DEHA2A00484g	CAG84300	protein_coding	27	0	17	220	0	12	115	27	0	5	0	0	14	0	0	0	0	0	0	0	0	0	30	105
DEHA2A00506g	DEHA2A00506g	CAG84303	protein_coding	13	0	38	227	0	27	99	13	0	11	0	0	48	0	0	0	0	0	0	0	0	0	3	128
DEHA2A00528g	DEHA2A00528g	CAG84304	protein_coding	8	0	1	239	0	0	136	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	9	103
DEHA2A00550g	DEHA2A00550g	CAG84305	protein_coding	6	0	35	239	0	23	84	6	0	12	0	0	39	0	0	0	0	0	0	0	0	0	2	155
