# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_inframe_deletion	variants_effect_inframe_insertion	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_exon_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
DEHA2A00110g	DEHA2A00110g	CAR65341	protein_coding	1	2	5	7	0	0	4	1	0	0	0	5	0	0	0	0	0	2	3
DEHA2A00132g	DEHA2A00132g	CAG84273	protein_coding	0	0	0	13	0	0	11	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A00154g	DEHA2A00154g	CAG84274	protein_coding	0	0	2	9	0	0	0	0	0	0	0	2	0	0	0	0	0	0	9
DEHA2A00176g	DEHA2A00176g	CAG84275	protein_coding	0	0	0	10	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A00198g	DEHA2A00198g	CAG84280	protein_coding	0	0	0	22	0	0	21	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A00220g	DEHA2A00220g	CAG84281	protein_coding	0	1	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	1	28
DEHA2A00242g	DEHA2A00242g	CAG84283	protein_coding	0	3	2	24	0	0	8	0	0	0	0	2	0	0	0	0	0	3	16
DEHA2A00264g	DEHA2A00264g	CAG84286	protein_coding	0	0	0	13	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A00286g	DEHA2A00286g	CAG84287	protein_coding	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
DEHA2A00374g	DEHA2A00374g	CAG84295	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
