# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_inframe_deletion	variants_effect_inframe_insertion	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
DEHA2A00110g	DEHA2A00110g	CAR65341	protein_coding	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0
DEHA2A00132g	DEHA2A00132g	CAG84273	protein_coding	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A00154g	DEHA2A00154g	CAG84274	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A00176g	DEHA2A00176g	CAG84275	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A00198g	DEHA2A00198g	CAG84280	protein_coding	0	0	0	23	23	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A00220g	DEHA2A00220g	CAG84281	protein_coding	0	2	2	38	0	0	0	0	0	2	0	0	0	0	0	2	38
DEHA2A00242g	DEHA2A00242g	CAG84283	protein_coding	0	2	1	39	19	0	0	0	0	1	0	0	0	0	0	2	20
DEHA2A00264g	DEHA2A00264g	CAG84286	protein_coding	0	0	0	22	22	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A00286g	DEHA2A00286g	CAG84287	protein_coding	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	13
DEHA2A00418g	DEHA2A00418g	CAG84297	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A00440g	DEHA2A00440g	CAG84298	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A00462g	DEHA2A00462g	CAG84299	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A00484g	DEHA2A00484g	CAG84300	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
DEHA2A00506g	DEHA2A00506g	CAG84303	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A00990r	DEHA2A00990r	DEHA2A00990r	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A01012g	DEHA2A01012g	CAG84330	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A01034g	DEHA2A01034g	CAG84331	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A01056g	DEHA2A01056g	CAG84332	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A01078r	DEHA2A01078r	DEHA2A01078r	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A01100g	DEHA2A01100g	CAG84333	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A01276g	DEHA2A01276g	CAG84341	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A01298g	DEHA2A01298g	CAG84342	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A01320g	DEHA2A01320g	CAG84343	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A01342g	DEHA2A01342g	CAG84344	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
